data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,unrooted,GTR+I,10,-32.2538,-32.254,-32.254,8.0,0.006,0.015,-31.2356,-31.236,-31.236,8.0,0.186,0.243,False,0,0,False,both,1.0181999999999967,1.0181999999999967,False,0.0
DNA,unrooted,GTR+I+G4,1,-17.6944,,-17.694,,,0.074,-7097.8271,,-7097.827,,,0.166,True,50,32,False,both,-7080.1327,7080.1327,False,
DNA,unrooted,GTR+I+G4,2,-24.4936,,-24.494,,,0.107,-7097.8271,,-7097.827,,,0.184,True,50,32,False,both,-7073.333500000001,7073.333500000001,False,
DNA,unrooted,GTR+I+G4,3,-15.759,,-15.759,,,0.033,-7097.8271,,-7097.827,,,0.177,True,50,32,False,both,-7082.0681,7082.0681,False,
DNA,unrooted,GTR+I+G4,4,-12.6631,,-12.663,,,0.018,-7097.8271,,-7097.827,,,0.179,True,50,32,False,both,-7085.164000000001,7085.164000000001,False,
DNA,unrooted,GTR+I+G4,5,-27.6278,,-27.628,,,0.065,-7097.8271,,-7097.827,,,0.213,True,50,32,False,both,-7070.1993,7070.1993,False,
DNA,unrooted,GTR+I+G4,6,-33.0592,,-33.059,,,0.042,-32.0833,,-32.083,,,0.548,False,0,0,False,both,0.9758999999999958,0.9758999999999958,False,
DNA,unrooted,GTR+I+G4,7,-21.3765,,-21.377,,,0.045,-7097.8271,,-7097.827,,,0.187,True,50,32,False,both,-7076.4506,7076.4506,False,
DNA,unrooted,GTR+I+G4,8,-37.0014,,-37.001,,,0.083,-7097.8271,,-7097.827,,,0.246,True,50,32,False,both,-7060.8257,7060.8257,False,
DNA,unrooted,GTR+I+G4,9,-35.5528,,-35.553,,,0.078,-7097.8271,,-7097.827,,,0.183,True,50,32,False,both,-7062.2743,7062.2743,False,
DNA,unrooted,GTR+I+G4,10,-25.2858,,-25.286,,,0.045,-7097.8271,,-7097.827,,,0.172,True,50,32,False,both,-7072.541300000001,7072.541300000001,False,
DNA,unrooted,GTR+R4,1,-27.5626,-27.563,-27.563,3.0,0.007,0.037,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.052,True,5,251,True,both,-7070.2645,7070.2645,False,-2.0
DNA,unrooted,GTR+R4,2,-26.4594,-26.459,-26.459,15.0,0.028,0.053,-7097.8271,-7097.8271289338,-7097.827,1.0,0.045,0.053,True,5,267,True,both,-7071.367700000001,7071.367700000001,False,-14.0
DNA,unrooted,GTR+R4,3,-28.9404,-28.94,-28.94,4.0,0.009,0.027,-7097.8271,-7097.8271289338,-7097.827,1.0,0.043,0.052,True,5,251,True,both,-7068.8867,7068.8867,False,-3.0
DNA,unrooted,GTR+R4,4,-24.2497,-24.25,-24.25,5.0,0.01,0.026,-24.4792,-24.479,-24.479,4.0,0.053,0.061,False,0,0,False,both,-0.22949999999999804,0.22949999999999804,False,-1.0
DNA,unrooted,GTR+R4,5,-20.6613,-20.661,-20.661,4.0,0.013,0.062,-7097.8271,-7097.8271289338,-7097.827,1.0,0.051,0.059,True,5,267,True,both,-7077.165800000001,7077.165800000001,False,-3.0
DNA,unrooted,GTR+R4,6,-18.461,-18.461,-18.461,3.0,0.01,0.053,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.052,True,3,251,True,both,-7079.3661,7079.3661,False,-2.0
DNA,unrooted,GTR+R4,7,-38.0644,-38.064,-38.064,8.0,0.024,0.052,-7097.8271,-7097.8271289338,-7097.827,1.0,0.053,0.094,True,5,251,True,both,-7059.7627,7059.7627,False,-7.0
DNA,unrooted,GTR+R4,8,-13.4918,-13.492,-13.492,2.0,0.004,0.055,-7097.8271,-7097.8271289338,-7097.827,1.0,0.044,0.052,True,5,251,True,both,-7084.335300000001,7084.335300000001,False,-1.0
DNA,unrooted,GTR+R4,9,-26.2491,-26.249,-26.249,3.0,0.009,0.039,-7097.8271,-7097.8271289338,-7097.827,1.0,0.043,0.051,True,5,251,True,both,-7071.578,7071.578,False,-2.0
DNA,unrooted,GTR+R4,10,-19.7978,-19.798,-19.798,12.0,0.026,0.057,-7097.8271,-7097.8271289338,-7097.827,1.0,0.041,0.049,True,5,251,True,both,-7078.0293,7078.0293,False,-11.0
