data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,rooted,LG,1,-31.9526,-31.953,-31.953,1.0,0.0,0.017,-31.9526,-31.953,-31.953,1.0,0.009,0.02,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,2,-52.7283,-52.728,-52.728,1.0,0.0,0.01,-52.7283,-52.728,-52.728,1.0,0.019,0.043,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,3,-44.7702,-44.77,-44.77,1.0,0.0,0.009,-44.7702,-44.77,-44.77,1.0,0.011,0.037,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,4,-64.1872,-64.187,-64.187,1.0,0.0,0.008,-64.1872,-64.187,-64.187,1.0,0.015,0.054,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,5,-31.4485,-31.449,-31.449,1.0,0.0,0.008,-31.4485,-31.449,-31.449,1.0,0.017,0.034,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,6,-58.1344,-58.134,-58.134,1.0,0.0,0.008,-58.1344,-58.134,-58.134,1.0,0.015,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,7,-62.1876,-62.188,-62.188,1.0,0.0,0.01,-62.1876,-62.188,-62.188,1.0,0.014,0.033,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,8,-49.228,-49.228,-49.228,1.0,0.0,0.009,-49.228,-49.228,-49.228,1.0,0.013,0.024,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,9,-58.1418,-58.142,-58.142,1.0,0.0,0.008,-58.1418,-58.142,-58.142,1.0,0.014,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,10,-33.8234,-33.823,-33.823,1.0,0.0,0.023,-33.8234,-33.823,-33.823,1.0,0.016,0.047,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+C60,1,-48.411,-48.411,-48.411,2.0,0.173,0.208,-86.653,-86.653,-86.653,2.0,0.584,0.659,False,0,0,False,both,-38.242000000000004,38.242000000000004,False,0.0
AA,rooted,LG+C60,2,-46.7955,-46.796,-46.796,4.0,0.285,0.308,-87.7048,-87.705,-87.705,2.0,0.541,0.622,False,0,0,False,both,-40.90930000000001,40.90930000000001,False,-2.0
AA,rooted,LG+C60,3,-38.2773,-38.277,-38.277,3.0,0.128,0.15,-71.9325,-71.933,-71.933,2.0,0.382,0.42,False,0,0,False,both,-33.65520000000001,33.65520000000001,False,-1.0
AA,rooted,LG+C60,4,-60.1356,-60.136,-60.136,2.0,0.173,0.197,-89.5002,-89.5,-89.5,2.0,0.602,0.659,False,0,0,False,both,-29.36460000000001,29.36460000000001,False,0.0
AA,rooted,LG+C60,5,-55.6071,-55.607,-55.607,3.0,0.233,0.256,-93.4043,-93.404,-93.404,2.0,0.592,0.663,False,0,0,False,both,-37.797200000000004,37.797200000000004,False,-1.0
AA,rooted,LG+C60,6,-45.3339,-45.334,-45.334,3.0,0.189,0.212,-70.8952,-70.895,-70.895,2.0,0.582,0.637,False,0,0,False,both,-25.561300000000003,25.561300000000003,False,-1.0
AA,rooted,LG+C60,7,-42.8248,-42.825,-42.825,4.0,0.357,0.38,-96.2841,-96.284,-96.284,2.0,0.588,0.626,False,0,0,False,both,-53.45929999999999,53.45929999999999,False,-2.0
AA,rooted,LG+C60,8,-30.7472,-30.747,-30.747,2.0,0.081,0.104,-66.6042,-66.604,-66.604,2.0,0.469,0.5,False,0,0,False,both,-35.857000000000006,35.857000000000006,False,0.0
AA,rooted,LG+C60,9,-41.3954,-41.395,-41.395,3.0,0.188,0.223,-84.6761,-84.676,-84.676,2.0,0.573,0.602,False,0,0,False,both,-43.2807,43.2807,False,-1.0
AA,rooted,LG+C60,10,-34.5295,-34.529,-34.529,3.0,0.189,0.227,-79.0731,-79.073,-79.073,2.0,0.461,0.49,False,0,0,False,both,-44.5436,44.5436,False,-1.0
