data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,rooted,LG,1,-31.9526,-31.953,-31.953,1.0,0.0,0.017,-31.9526,-31.953,-31.953,1.0,0.013,0.074,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,2,-52.7283,-52.728,-52.728,1.0,0.0,0.01,-52.7283,-52.728,-52.728,1.0,0.011,0.049,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,3,-44.7702,-44.77,-44.77,1.0,0.0,0.008,-44.7702,-44.77,-44.77,1.0,0.01,0.037,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,4,-64.1872,-64.187,-64.187,1.0,0.0,0.008,-64.1872,-64.187,-64.187,1.0,0.011,0.021,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,5,-31.4485,-31.449,-31.449,1.0,0.0,0.008,-31.4485,-31.449,-31.449,1.0,0.013,0.021,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,6,-58.1344,-58.134,-58.134,1.0,0.0,0.008,-58.1344,-58.134,-58.134,1.0,0.014,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,7,-62.1876,-62.188,-62.188,1.0,0.0,0.011,-62.1876,-62.188,-62.188,1.0,0.01,0.047,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,8,-49.228,-49.228,-49.228,1.0,0.0,0.009,-49.228,-49.228,-49.228,1.0,0.011,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,9,-58.1418,-58.142,-58.142,1.0,0.0,0.011,-58.1418,-58.142,-58.142,1.0,0.01,0.018,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,10,-33.8234,-33.823,-33.823,1.0,0.0,0.008,-33.8234,-33.823,-33.823,1.0,0.012,0.022,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+C60,1,-48.411,-48.411,-48.411,2.0,0.205,0.298,-86.653,-86.653,-86.653,2.0,0.594,0.785,False,0,0,False,both,-38.242000000000004,38.242000000000004,False,0.0
AA,rooted,LG+C60,2,-46.7955,-46.796,-46.796,4.0,0.353,0.417,-87.7048,-87.705,-87.705,2.0,0.554,0.588,False,0,0,False,both,-40.90930000000001,40.90930000000001,False,-2.0
AA,rooted,LG+C60,3,-38.2773,-38.277,-38.277,3.0,0.154,0.179,-71.9325,-71.933,-71.933,2.0,0.389,0.472,False,0,0,False,both,-33.65520000000001,33.65520000000001,False,-1.0
AA,rooted,LG+C60,4,-60.1356,-60.136,-60.136,2.0,0.206,0.268,-89.5002,-89.5,-89.5,2.0,0.593,0.652,False,0,0,False,both,-29.36460000000001,29.36460000000001,False,0.0
AA,rooted,LG+C60,5,-55.6071,-55.607,-55.607,3.0,0.276,0.33,-93.4043,-93.404,-93.404,2.0,0.604,0.728,False,0,0,False,both,-37.797200000000004,37.797200000000004,False,-1.0
AA,rooted,LG+C60,6,-45.3339,-45.334,-45.334,3.0,0.218,0.246,-70.8952,-70.895,-70.895,2.0,0.604,0.637,False,0,0,False,both,-25.561300000000003,25.561300000000003,False,-1.0
AA,rooted,LG+C60,7,-42.8248,-42.825,-42.825,4.0,0.431,0.477,-96.2841,-96.284,-96.284,2.0,0.602,0.646,False,0,0,False,both,-53.45929999999999,53.45929999999999,False,-2.0
AA,rooted,LG+C60,8,-30.7472,-30.747,-30.747,2.0,0.099,0.13,-66.6042,-66.604,-66.604,2.0,0.483,0.516,False,0,0,False,both,-35.857000000000006,35.857000000000006,False,0.0
AA,rooted,LG+C60,9,-41.3954,-41.395,-41.395,3.0,0.22,0.262,-84.6761,-84.676,-84.676,2.0,0.594,0.627,False,0,0,False,both,-43.2807,43.2807,False,-1.0
AA,rooted,LG+C60,10,-34.5295,-34.529,-34.529,3.0,0.23,0.263,-79.0731,-79.073,-79.073,2.0,0.477,0.51,False,0,0,False,both,-44.5436,44.5436,False,-1.0
AA,rooted,LG+G4,1,-42.6132,-42.613,-42.613,2.0,0.003,0.011,-42.6132,-42.613,-42.613,2.0,0.036,0.067,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,2,-43.5726,-43.573,-43.573,3.0,0.003,0.011,-43.5726,-43.573,-43.573,3.0,0.042,0.05,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,3,-34.2152,-34.215,-34.215,2.0,0.002,0.01,-34.2152,-34.215,-34.215,2.0,0.033,0.041,False,0,0,False,both,0.0,0.0,True,0.0
